sa_id,phase,tier,title,registry_status,bucket,recipe_ok,recipe_path,verify_recipe,validation,proof_verdict,honest_proof,has_receipt,receipt_status,closeout_reporter,quarantined_yaml,machine_verify,missing_gaps,cycle_check,cycle_act,cycle_verify,queue_pos,queue_role
sa-0011,phase-s0-ssot-alignment,T0,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0011.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0012,phase-s0-ssot-alignment,T0,Verify _phase_d_complete() matches D1–D16 on-disk artifacts,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0012.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0013,phase-s0-ssot-alignment,T0,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0013.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0014,phase-s0-ssot-alignment,T0,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0014.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0015,phase-s0-ssot-alignment,T0,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0015.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0016,phase-s0-ssot-alignment,T0,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0016.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0017,phase-s0-ssot-alignment,T0,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0017.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0018,phase-s0-ssot-alignment,T0,Reject unconditional L8 line in honest_score when hybrid shipped,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0018.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0019,phase-s0-ssot-alignment,T0,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0019.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0020,phase-s0-ssot-alignment,T0,Compare Claude ENFORCE stale claims to dispatch-policy API live,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0020.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0021,phase-s0-ssot-alignment,T0,Document SSOT trust order in COUNCIL_BRIEF one bullet,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0021.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0022,phase-s0-ssot-alignment,T0,Grep scripts for dispatch_ready=true global set — reject,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0022.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0023,phase-s0-ssot-alignment,T0,Validate strategic_synthesis bottleneck mentions dispatch_ready false,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0023.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0024,phase-s0-ssot-alignment,T0,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0024.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,,no,,,yes,no,yes,,
sa-0025,phase-s0-ssot-alignment,T0,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0025.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0026,phase-s0-ssot-alignment,T1,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0026.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0027,phase-s0-ssot-alignment,T1,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0027.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0028,phase-s0-ssot-alignment,T1,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0028.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0029,phase-s0-ssot-alignment,T1,Set goal-dispatch-closure status in_progress with spine bridge blocker note,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0029.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0030,phase-s0-ssot-alignment,T1,Set P2 L0-full pendings status partial not open,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0030.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0031,phase-s0-ssot-alignment,T1,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0031.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0032,phase-s0-ssot-alignment,T1,Add audit regression: fail if live eval ok but Eval-1b still in not_here,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0032.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0033,phase-s0-ssot-alignment,T1,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0033.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0034,phase-s0-ssot-alignment,T1,Run bash validate-governance-drift-v1.sh; drift items must be 0,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0034.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0035,phase-s0-ssot-alignment,T1,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0035.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0036,phase-s0-ssot-alignment,T1,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0036.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0037,phase-s0-ssot-alignment,T1,Verify _phase_d_complete() matches D1–D16 on-disk artifacts,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0037.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0038,phase-s0-ssot-alignment,T1,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0038.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0039,phase-s0-ssot-alignment,T1,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0039.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0040,phase-s0-ssot-alignment,T1,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0040.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0041,phase-s0-ssot-alignment,T1,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0041.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0042,phase-s0-ssot-alignment,T1,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0042.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0043,phase-s0-ssot-alignment,T1,Reject unconditional L8 line in honest_score when hybrid shipped,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0043.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0044,phase-s0-ssot-alignment,T1,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0044.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0045,phase-s0-ssot-alignment,T1,Compare Claude ENFORCE stale claims to dispatch-policy API live,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0045.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0046,phase-s0-ssot-alignment,T1,Document SSOT trust order in COUNCIL_BRIEF one bullet,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0046.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0047,phase-s0-ssot-alignment,T1,Grep scripts for dispatch_ready=true global set — reject,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0047.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0048,phase-s0-ssot-alignment,T1,Validate strategic_synthesis bottleneck mentions dispatch_ready false,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0048.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0049,phase-s0-ssot-alignment,T1,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0049.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0050,phase-s0-ssot-alignment,T1,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,done,done,yes,prompts/phase-s0-ssot-alignment/T1/sa-0050.md,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0051,phase-s0-ssot-alignment,T2,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0051.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0052,phase-s0-ssot-alignment,T2,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0052.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0053,phase-s0-ssot-alignment,T2,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0053.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0054,phase-s0-ssot-alignment,T2,Set goal-dispatch-closure status in_progress with spine bridge blocker note,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0054.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0055,phase-s0-ssot-alignment,T2,Set P2 L0-full pendings status partial not open,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0055.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0056,phase-s0-ssot-alignment,T2,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0056.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0057,phase-s0-ssot-alignment,T2,Add audit regression: fail if live eval ok but Eval-1b still in not_here,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0057.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0058,phase-s0-ssot-alignment,T2,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0058.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0059,phase-s0-ssot-alignment,T2,Run bash validate-governance-drift-v1.sh; drift items must be 0,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0059.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0060,phase-s0-ssot-alignment,T2,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0060.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0061,phase-s0-ssot-alignment,T2,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0061.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0062,phase-s0-ssot-alignment,T2,Verify _phase_d_complete() matches D1–D16 on-disk artifacts,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0062.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0063,phase-s0-ssot-alignment,T2,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0063.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0064,phase-s0-ssot-alignment,T2,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0064.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0065,phase-s0-ssot-alignment,T2,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0065.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0066,phase-s0-ssot-alignment,T2,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0066.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0067,phase-s0-ssot-alignment,T2,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0067.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0068,phase-s0-ssot-alignment,T2,Reject unconditional L8 line in honest_score when hybrid shipped,done,done,yes,prompts/phase-s0-ssot-alignment/T2/sa-0068.md,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
