sa_id,phase,tier,title,audit_verdict,has_receipt,receipt_status,receipt_engine,receipt_at,receipt_path,has_closeout_yaml,closeout_reporter,closeout_reported_at,closeout_yaml,closeout_evidence
sa-0025,phase-s0-ssot-alignment,T0,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0026,phase-s0-ssot-alignment,T1,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0027,phase-s0-ssot-alignment,T1,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0028,phase-s0-ssot-alignment,T1,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0029,phase-s0-ssot-alignment,T1,Set goal-dispatch-closure status in_progress with spine bridge blocker note,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0030,phase-s0-ssot-alignment,T1,Set P2 L0-full pendings status partial not open,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0031,phase-s0-ssot-alignment,T1,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0032,phase-s0-ssot-alignment,T1,Add audit regression: fail if live eval ok but Eval-1b still in not_here,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0033,phase-s0-ssot-alignment,T1,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0034,phase-s0-ssot-alignment,T1,Run bash validate-governance-drift-v1.sh; drift items must be 0,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0035,phase-s0-ssot-alignment,T1,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0036,phase-s0-ssot-alignment,T1,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0037,phase-s0-ssot-alignment,T1,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0038,phase-s0-ssot-alignment,T1,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0039,phase-s0-ssot-alignment,T1,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0040,phase-s0-ssot-alignment,T1,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0041,phase-s0-ssot-alignment,T1,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0042,phase-s0-ssot-alignment,T1,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0043,phase-s0-ssot-alignment,T1,Reject unconditional L8 line in honest_score when hybrid shipped,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0044,phase-s0-ssot-alignment,T1,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0045,phase-s0-ssot-alignment,T1,Compare Claude ENFORCE stale claims to dispatch-policy API live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0046,phase-s0-ssot-alignment,T1,Document SSOT trust order in COUNCIL_BRIEF one bullet,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0047,phase-s0-ssot-alignment,T1,Grep scripts for dispatch_ready=true global set — reject,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0048,phase-s0-ssot-alignment,T1,Validate strategic_synthesis bottleneck mentions dispatch_ready false,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0049,phase-s0-ssot-alignment,T1,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0050,phase-s0-ssot-alignment,T1,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0051,phase-s0-ssot-alignment,T2,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0052,phase-s0-ssot-alignment,T2,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0053,phase-s0-ssot-alignment,T2,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0054,phase-s0-ssot-alignment,T2,Set goal-dispatch-closure status in_progress with spine bridge blocker note,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0055,phase-s0-ssot-alignment,T2,Set P2 L0-full pendings status partial not open,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0056,phase-s0-ssot-alignment,T2,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0057,phase-s0-ssot-alignment,T2,Add audit regression: fail if live eval ok but Eval-1b still in not_here,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0058,phase-s0-ssot-alignment,T2,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0059,phase-s0-ssot-alignment,T2,Run bash validate-governance-drift-v1.sh; drift items must be 0,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0060,phase-s0-ssot-alignment,T2,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0061,phase-s0-ssot-alignment,T2,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0062,phase-s0-ssot-alignment,T2,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0063,phase-s0-ssot-alignment,T2,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0064,phase-s0-ssot-alignment,T2,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0065,phase-s0-ssot-alignment,T2,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0066,phase-s0-ssot-alignment,T2,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0067,phase-s0-ssot-alignment,T2,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0068,phase-s0-ssot-alignment,T2,Reject unconditional L8 line in honest_score when hybrid shipped,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0069,phase-s0-ssot-alignment,T2,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0070,phase-s0-ssot-alignment,T2,Compare Claude ENFORCE stale claims to dispatch-policy API live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0071,phase-s0-ssot-alignment,T2,Document SSOT trust order in COUNCIL_BRIEF one bullet,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0072,phase-s0-ssot-alignment,T2,Grep scripts for dispatch_ready=true global set — reject,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0073,phase-s0-ssot-alignment,T2,Validate strategic_synthesis bottleneck mentions dispatch_ready false,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0074,phase-s0-ssot-alignment,T2,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0075,phase-s0-ssot-alignment,T2,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0076,phase-s0-ssot-alignment,T3,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,BATCH_CLOSEOUT_ONLY,no,,,,,yes,cursor-worker-batch,2026-06-07T03:03:13Z,2026-06-07T0303_plan-with-no-asf-sa-0076.yaml,validate-honest-score-not-here-drift-v1 · audit regression · structural_only not_here
sa-0077,phase-s0-ssot-alignment,T3,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,BATCH_CLOSEOUT_ONLY,no,,,,,yes,cursor-worker-batch,2026-06-07T03:08:27Z,2026-06-07T0308_plan-with-no-asf-sa-0077.yaml,validate-honest-score-l8-skip-v1 · hybrid shipped skip L8 stale line
sa-0078,phase-s0-ssot-alignment,T3,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0078.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0079,phase-s0-ssot-alignment,T3,Set goal-dispatch-closure status in_progress with spine bridge blocker note,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0079.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0080,phase-s0-ssot-alignment,T3,Set P2 L0-full pendings status partial not open,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0080.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0081,phase-s0-ssot-alignment,T3,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0081.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0082,phase-s0-ssot-alignment,T3,Add audit regression: fail if live eval ok but Eval-1b still in not_here,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0082.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0083,phase-s0-ssot-alignment,T3,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0083.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0084,phase-s0-ssot-alignment,T3,Run bash validate-governance-drift-v1.sh; drift items must be 0,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0084.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0085,phase-s0-ssot-alignment,T3,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0085.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0086,phase-s0-ssot-alignment,T3,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0086.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0087,phase-s0-ssot-alignment,T3,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0087.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0088,phase-s0-ssot-alignment,T3,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0088.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0089,phase-s0-ssot-alignment,T3,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0089.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0090,phase-s0-ssot-alignment,T3,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0090.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0091,phase-s0-ssot-alignment,T3,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0091.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0092,phase-s0-ssot-alignment,T3,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0092.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0093,phase-s0-ssot-alignment,T3,Reject unconditional L8 line in honest_score when hybrid shipped,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0093.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0094,phase-s0-ssot-alignment,T3,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0094.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0095,phase-s0-ssot-alignment,T3,Compare Claude ENFORCE stale claims to dispatch-policy API live,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0095.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0096,phase-s0-ssot-alignment,T3,Document SSOT trust order in COUNCIL_BRIEF one bullet,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0096.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0097,phase-s0-ssot-alignment,T3,Grep scripts for dispatch_ready=true global set — reject,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0097.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0098,phase-s0-ssot-alignment,T3,Validate strategic_synthesis bottleneck mentions dispatch_ready false,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0098.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0099,phase-s0-ssot-alignment,T3,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0099.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0100,phase-s0-ssot-alignment,T3,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,WORKER_YAML_ONLY,no,,,,,yes,cursor-worker,2026-06-07T03:11:44Z,2026-06-07T0311_plan-with-no-asf-sa-0100.yaml,validate-phase-s0-ssot-alignment-v1 · SSOT machine proof
sa-0101,phase-s1-eval-dispatch,T0,Run bash validate-eval-packet-v1b-live.sh; sustain 5/5 pilots ≥80%,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T03:48:00Z,2026-06-06T0348_plan-with-no-asf-sa-0101-eval-sustain.yaml,eval-1b LIVE pilots 5/5 100%; critical 0
sa-0102,phase-s1-eval-dispatch,T0,Wire validate-eval-packet-v1b-live into strict build default chain,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T04:12:00Z,2026-06-06T0412_plan-with-no-asf-sa-0102-eval-wire.yaml,strict build calls validate-eval-packet-v1b-live.sh; live gate blocked OpenRouter 402
sa-0103,phase-s1-eval-dispatch,T0,Strengthen eval_packet_v1b/grounding.py bugfix-gate paths model_dispatch gate_receipts,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T04:12:00Z,2026-06-06T0412_plan-with-no-asf-sa-0103-grounding.yaml,bugfix-gate paths model_dispatch gate_receipts snippets gate_eligible+enforce; critical 0
sa-0104,phase-s1-eval-dispatch,T0,Verify dispatch_policy eval_1b_gate_ok true in /api/dispatch-policy-v1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0105,phase-s1-eval-dispatch,T0,Ensure dispatch_ready stays false until founder spine Action — no code bypass,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T04:34:00Z,2026-06-06T0434_plan-with-no-asf-sa-0105-dispatch-lock.yaml,validate-dispatch-ready-lock-v1 OK; hub APIs dispatch_ready=false; critical 0
sa-0106,phase-s1-eval-dispatch,T0,Run eval live with SINA_AUDIT_STRICT=1; capture report to ~/.sina,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T04:38:00Z,2026-06-06T0438_plan-with-no-asf-sa-0106-eval-capture.yaml,validate-eval-report-capture-v1 mode=scaffold ci=structural_only; critical 0
sa-0107,phase-s1-eval-dispatch,T0,Add validate-governance-fleet-v1.sh to find_critical_bugs.py checks list,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T13:55:00Z,2026-06-06T1355_plan-with-no-asf-sa-0107-fleet-checks.yaml,validate-governance-fleet-v1.sh in checks ok=true severity=critical; critical 0
sa-0108,phase-s1-eval-dispatch,T0,Cross-check DISPATCH_POLICY_LOCKED_v1.md classes vs policy_engine.py,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T14:30:00Z,2026-06-06T1430_plan-with-no-asf-sa-0108-dispatch-crosscheck.yaml,V-dispatch-01..04 PASS; mapping_ok=True; eval_tier=structural; critical 0
sa-0109,phase-s1-eval-dispatch,T0,Validate graph-executor pos-dispatch suggest not auto dispatch globally,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T15:18:00Z,2026-06-06T1518_plan-with-no-asf-sa-0109-pos-dispatch-guard.yaml,first_action pos-dispatch policy_class suggest; auto_dispatch false; dispatch_ready false; critical 0
sa-0110,phase-s1-eval-dispatch,T0,Run python3 eval_packet_v1b/runner.py live smoke — write_report true,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T15:30:00Z,2026-06-06T1530_plan-with-no-asf-sa-0110-eval-live-smoke.yaml,SKIP live blocked openrouter_402; scaffold 7/7 100%; build PASS; critical 0
sa-0111,phase-s1-eval-dispatch,T0,Harden scorer.py path citation checks for plan-eval-1b task,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T15:45:00Z,2026-06-06T1545_plan-with-no-asf-sa-0111-scorer-paths.yaml,plan-eval-1b path citation hardened; basename-only rejected; build PASS; critical 0
sa-0112,phase-s1-eval-dispatch,T0,Add retrieve-dispatch grounding paths orchestrator + planner_engine,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T15:54:00Z,2026-06-06T1554_plan-with-no-asf-sa-0112-retrieve-dispatch.yaml,retrieve-dispatch orchestrator + planner_engine; dispatch_ready snippets; critical 0
sa-0113,phase-s1-eval-dispatch,T0,Validate factory-runreceipt grounding includes RUNRECEIPT schema doc,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T16:00:00Z,2026-06-06T1600_plan-with-no-asf-sa-0113-factory-runreceipt.yaml,factory-runreceipt RUNRECEIPT schema doc; run.jsonl summary.json snippets; critical 0
sa-0114,phase-s1-eval-dispatch,T0,Validate l8-hybrid grounding cites embedding_provider.py,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T16:10:00Z,2026-06-06T1610_plan-with-no-asf-sa-0114-l8-hybrid.yaml,l8-hybrid embedding_provider.py; embedding hybrid snippets; critical 0
sa-0115,phase-s1-eval-dispatch,T0,Run bash validate-eval-packet-v1b.sh scaffold arm after live pass,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T16:25:00Z,2026-06-06T1625_plan-with-no-asf-sa-0115-scaffold-arm.yaml,scaffold arm 7/7 100%; scaffold_ok true; build PASS; critical 0
sa-0116,phase-s1-eval-dispatch,T0,Compare Eval-1 structural vs Eval-1b behavioral in council brief,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T16:45:00Z,2026-06-06T1645_plan-with-no-asf-sa-0116-council-eval-compare.yaml,eval_comparison in council payload; build PASS; critical 0
sa-0117,phase-s1-eval-dispatch,T0,Document eval CI in build-sina-command-panel.py header comment,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T16:55:00Z,2026-06-06T1655_plan-with-no-asf-sa-0117-eval-ci-header.yaml,module docstring documents Eval-1/1b CI chain; build PASS; critical 0
sa-0118,phase-s1-eval-dispatch,T0,Reject ASF as eval authority in scoreboard or progress scripts grep,MAINTAINER_YAML_ONLY,no,,,,,yes,cursor-maintainer,2026-06-06T17:05:00Z,2026-06-06T1705_plan-with-no-asf-sa-0118-no-asf-eval-authority.yaml,auto_pass authority; force_override not manual; CRITICAL validator wired; critical 0
