sa_id,phase,tier,title,registry_status,has_recipe_file,recipe_path,recipe_md_status,verify_recipe,proof_verdict,honest_proof,full_worker_cycle,has_receipt,receipt_status,receipt_at,receipt_path,has_closeout_yaml,closeout_reporter,closeout_at,closeout_evidence,missing_gaps
sa-0011,phase-s0-ssot-alignment,T0,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0011.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0012,phase-s0-ssot-alignment,T0,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0012.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0013,phase-s0-ssot-alignment,T0,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0013.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0014,phase-s0-ssot-alignment,T0,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0014.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0015,phase-s0-ssot-alignment,T0,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0015.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0016,phase-s0-ssot-alignment,T0,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0016.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0017,phase-s0-ssot-alignment,T0,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0017.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0018,phase-s0-ssot-alignment,T0,Reject unconditional L8 line in honest_score when hybrid shipped,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0018.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0019,phase-s0-ssot-alignment,T0,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0019.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0020,phase-s0-ssot-alignment,T0,Compare Claude ENFORCE stale claims to dispatch-policy API live,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0020.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0021,phase-s0-ssot-alignment,T0,Document SSOT trust order in COUNCIL_BRIEF one bullet,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0021.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0022,phase-s0-ssot-alignment,T0,Grep scripts for dispatch_ready=true global set — reject,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0022.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0023,phase-s0-ssot-alignment,T0,Validate strategic_synthesis bottleneck mentions dispatch_ready false,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0023.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0024,phase-s0-ssot-alignment,T0,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0024.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0025,phase-s0-ssot-alignment,T0,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0025.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0026,phase-s0-ssot-alignment,T1,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0026.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0027,phase-s0-ssot-alignment,T1,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0027.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0028,phase-s0-ssot-alignment,T1,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0028.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0029,phase-s0-ssot-alignment,T1,Set goal-dispatch-closure status in_progress with spine bridge blocker note,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0029.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0030,phase-s0-ssot-alignment,T1,Set P2 L0-full pendings status partial not open,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0030.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0031,phase-s0-ssot-alignment,T1,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0031.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0032,phase-s0-ssot-alignment,T1,Add audit regression: fail if live eval ok but Eval-1b still in not_here,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0032.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0033,phase-s0-ssot-alignment,T1,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0033.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0034,phase-s0-ssot-alignment,T1,Run bash validate-governance-drift-v1.sh; drift items must be 0,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0034.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0035,phase-s0-ssot-alignment,T1,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0035.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0036,phase-s0-ssot-alignment,T1,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0036.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0037,phase-s0-ssot-alignment,T1,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0037.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0038,phase-s0-ssot-alignment,T1,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0038.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0039,phase-s0-ssot-alignment,T1,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0039.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0040,phase-s0-ssot-alignment,T1,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0040.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0041,phase-s0-ssot-alignment,T1,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0041.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0042,phase-s0-ssot-alignment,T1,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0042.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0043,phase-s0-ssot-alignment,T1,Reject unconditional L8 line in honest_score when hybrid shipped,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0043.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0044,phase-s0-ssot-alignment,T1,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0044.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0045,phase-s0-ssot-alignment,T1,Compare Claude ENFORCE stale claims to dispatch-policy API live,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0045.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0046,phase-s0-ssot-alignment,T1,Document SSOT trust order in COUNCIL_BRIEF one bullet,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0046.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0047,phase-s0-ssot-alignment,T1,Grep scripts for dispatch_ready=true global set — reject,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0047.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0048,phase-s0-ssot-alignment,T1,Validate strategic_synthesis bottleneck mentions dispatch_ready false,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0048.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0049,phase-s0-ssot-alignment,T1,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0049.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0050,phase-s0-ssot-alignment,T1,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,backlog,yes,prompts/phase-s0-ssot-alignment/T1/sa-0050.md,backlog,cd scripts && bash validate-eval-packet-v1b-live.sh && bash validate-governance-fleet-v1.sh && python3 audit_hub_source_alignment.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0051,phase-s0-ssot-alignment,T2,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0051.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0052,phase-s0-ssot-alignment,T2,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0052.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0053,phase-s0-ssot-alignment,T2,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0053.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0054,phase-s0-ssot-alignment,T2,Set goal-dispatch-closure status in_progress with spine bridge blocker note,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0054.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0055,phase-s0-ssot-alignment,T2,Set P2 L0-full pendings status partial not open,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0055.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0056,phase-s0-ssot-alignment,T2,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0056.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0057,phase-s0-ssot-alignment,T2,Add audit regression: fail if live eval ok but Eval-1b still in not_here,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0057.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0058,phase-s0-ssot-alignment,T2,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0058.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0059,phase-s0-ssot-alignment,T2,Run bash validate-governance-drift-v1.sh; drift items must be 0,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0059.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0060,phase-s0-ssot-alignment,T2,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0060.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0061,phase-s0-ssot-alignment,T2,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0061.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0062,phase-s0-ssot-alignment,T2,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0062.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0063,phase-s0-ssot-alignment,T2,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0063.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0064,phase-s0-ssot-alignment,T2,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0064.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0065,phase-s0-ssot-alignment,T2,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0065.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0066,phase-s0-ssot-alignment,T2,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0066.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0067,phase-s0-ssot-alignment,T2,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0067.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0068,phase-s0-ssot-alignment,T2,Reject unconditional L8 line in honest_score when hybrid shipped,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0068.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0069,phase-s0-ssot-alignment,T2,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0069.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0070,phase-s0-ssot-alignment,T2,Compare Claude ENFORCE stale claims to dispatch-policy API live,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0070.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0071,phase-s0-ssot-alignment,T2,Document SSOT trust order in COUNCIL_BRIEF one bullet,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0071.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0072,phase-s0-ssot-alignment,T2,Grep scripts for dispatch_ready=true global set — reject,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0072.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0073,phase-s0-ssot-alignment,T2,Validate strategic_synthesis bottleneck mentions dispatch_ready false,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0073.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0074,phase-s0-ssot-alignment,T2,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0074.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0075,phase-s0-ssot-alignment,T2,Append SOURCEA-PRIORITY row: SSOT alignment PASS with timestamp,backlog,yes,prompts/phase-s0-ssot-alignment/T2/sa-0075.md,backlog,cd scripts && python3 audit_backend_e2e.py && bash validate-spine-bridge-founder-v1.sh,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0076,phase-s0-ssot-alignment,T3,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,backlog,yes,prompts/phase-s0-ssot-alignment/T3/sa-0076.md,backlog,cd scripts && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,yes,cursor-worker-batch,2026-06-07T03:03:13Z,validate-honest-score-not-here-drift-v1 · audit regression · structural_only not_here,NOT_DONE
sa-0077,phase-s0-ssot-alignment,T3,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,backlog,yes,prompts/phase-s0-ssot-alignment/T3/sa-0077.md,backlog,cd scripts && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,yes,cursor-worker-batch,2026-06-07T03:08:27Z,validate-honest-score-l8-skip-v1 · hybrid shipped skip L8 stale line,NOT_DONE
