id,source_path,filename,ext,size_bytes,subject,field,spec_tier,status
ic-00025,INNOVAWAIC236MB_pass.pkpass,INNOVAWAIC236MB_pass.pkpass,.pkpass,1260658,raw,ops,draft,classified
ic-00026,due_diligence_deck.html,due_diligence_deck.html,.html,5643,raw,code,draft,classified
ic-00027,_How_to_create_a_plan_to_protect_your_infrastructure_from_attackers_1766968645.pdf,_How_to_create_a_plan_to_protect_your_infrastructure_from_attackers_1766968645.pdf,.pdf,8547798,raw,ops,draft,classified
ic-00028,Driver Licence Class 5.pdf,Driver Licence Class 5.pdf,.pdf,913331,raw,ops,draft,classified
ic-00029,The_777_Foundation_Federal_Constitution.docx,The_777_Foundation_Federal_Constitution.docx,.docx,38012,777,ops,draft,classified
ic-00030,646238 Sina Kazemnezhad 7-24-2024.pdf,646238 Sina Kazemnezhad 7-24-2024.pdf,.pdf,240390,raw,ops,draft,classified
ic-00031,noetfield_onepager_premium.pdf,noetfield_onepager_premium.pdf,.pdf,3065,noetfield,marketing,draft,classified
ic-00032,English- Welcome Week Sry LIP 2025.pdf,English- Welcome Week Sry LIP 2025.pdf,.pdf,1448170,raw,ops,draft,classified
ic-00033,Noetfield FinSec Application.docx,Noetfield FinSec Application.docx,.docx,41442,noetfield,legal,draft,classified
ic-00034,Quadlii_Strategic_Analysis_Initiative.docx,Quadlii_Strategic_Analysis_Initiative.docx,.docx,38104,raw,ops,draft,classified
ic-00035,kavodax-clone-blueprint.pdf,kavodax-clone-blueprint.pdf,.pdf,107927,raw,ops,draft,classified
ic-00036,Sina-Kazemnezhad 5.pdf,Sina-Kazemnezhad 5.pdf,.pdf,71482,raw,ops,draft,classified
ic-00037,noetfield_institutional_brief.pdf,noetfield_institutional_brief.pdf,.pdf,31410,noetfield,marketing,draft,classified
ic-00038,Noetfield_Systems_RBC_FinSec_Memo.pdf,Noetfield_Systems_RBC_FinSec_Memo.pdf,.pdf,39526,noetfield,ops,draft,classified
ic-00039,Sina_Kazemnezhad_Founding_CEO_Resume.pdf,Sina_Kazemnezhad_Founding_CEO_Resume.pdf,.pdf,100695,personal,ops,draft,classified
ic-00040,BC_Infrastructure_Research_Proposal_v3.pdf,BC_Infrastructure_Research_Proposal_v3.pdf,.pdf,5267,raw,research,active,classified
ic-00041,Code144_DualVersions.pdf,Code144_DualVersions.pdf,.pdf,4079,raw,ops,draft,classified
ic-00042,21de6661-6f01-4463-94cf-40e32c6fb542 2.pdf,21de6661-6f01-4463-94cf-40e32c6fb542 2.pdf,.pdf,114487,raw,ops,draft,classified
ic-00043,Equiton_Institutional_Strategy_V2.pdf,Equiton_Institutional_Strategy_V2.pdf,.pdf,33336,raw,ops,active,classified
ic-00044,Noetfield_Systems_FinSec_Light_Intake_Brief.pdf,Noetfield_Systems_FinSec_Light_Intake_Brief.pdf,.pdf,23721,noetfield,spec,draft,classified
ic-00045,Capital Gap Map v2 PRO.pdf,Capital Gap Map v2 PRO.pdf,.pdf,25006,raw,finance,active,classified
ic-00046,"November 7, 2025.pdf","November 7, 2025.pdf",.pdf,197044,raw,ops,draft,classified
ic-00047,Sina_Kazemnezhad_Executive_Application.pdf,Sina_Kazemnezhad_Executive_Application.pdf,.pdf,24778,raw,legal,draft,classified
ic-00048,Dual Company Blueprint 2026.pdf,Dual Company Blueprint 2026.pdf,.pdf,43739,raw,ops,draft,classified
ic-00049,noetfield_core_system_directory.pdf,noetfield_core_system_directory.pdf,.pdf,76085,noetfield,ops,draft,classified
ic-00050,IMG_1682.jpg,IMG_1682.jpg,.jpg,485274,raw,ops,draft,classified
ic-00051,CIBC Void Cheque_Direct Deposit Form.pdf,CIBC Void Cheque_Direct Deposit Form.pdf,.pdf,214351,personal,finance,draft,classified
ic-00052,Noetfield_Systems_FinSec_Intake_Brief_Kavodax.pdf,Noetfield_Systems_FinSec_Intake_Brief_Kavodax.pdf,.pdf,25675,noetfield,spec,draft,classified
ic-00053,Sina-Kazemnezhad 4.pdf,Sina-Kazemnezhad 4.pdf,.pdf,169791,raw,ops,draft,classified
ic-00054,Sina-Kazemnezhad 6.pdf,Sina-Kazemnezhad 6.pdf,.pdf,70830,raw,ops,draft,classified
ic-00055,Insurance Uber.pdf,Insurance Uber.pdf,.pdf,711849,personal,ops,draft,classified
ic-00056,SinaKazemnezhad144 2.pdf,SinaKazemnezhad144 2.pdf,.pdf,138800,raw,ops,draft,classified
ic-00057,"October 7, 2025.pdf","October 7, 2025.pdf",.pdf,183285,raw,ops,draft,classified
ic-00058,Sina_Kazemnezhad_Resume_Ec.pdf,Sina_Kazemnezhad_Resume_Ec.pdf,.pdf,25629,personal,ops,draft,classified
ic-00059,Sina-Kazemnezhad(resume).pdf,Sina-Kazemnezhad(resume).pdf,.pdf,163172,personal,ops,draft,classified
ic-00060,AI_Governance_Assessment_Noetfield.pdf,AI_Governance_Assessment_Noetfield.pdf,.pdf,52993,noetfield,spec,draft,classified
ic-00061,noetfield_full_execution_architecture.pdf,noetfield_full_execution_architecture.pdf,.pdf,56943,noetfield,spec,draft,classified
ic-00062,mecr_governance_kernel_v1_0.pdf,mecr_governance_kernel_v1_0.pdf,.pdf,68268,raw,spec,active,classified
ic-00063,Sina_Kazemnezhad_AI_Resume.docx,Sina_Kazemnezhad_AI_Resume.docx,.docx,37970,personal,ops,draft,classified
ic-00064,Sina-Kazemnezhad. LLB.pdf,Sina-Kazemnezhad. LLB.pdf,.pdf,93091,raw,ops,draft,classified
ic-00065,ExplanationOfCompulsoryService_SinaKazemnezhad.pdf,ExplanationOfCompulsoryService_SinaKazemnezhad.pdf,.pdf,1982,raw,ops,draft,classified
ic-00066,noetfield_systems_intake_brief3.pdf,noetfield_systems_intake_brief3.pdf,.pdf,34111,noetfield,spec,draft,classified
ic-00067,Sina Kazemnezhad Resume 1.pdf,Sina Kazemnezhad Resume 1.pdf,.pdf,111861,personal,ops,draft,classified
ic-00068,Noetfield_Systems_Institutional_Narrative.pdf,Noetfield_Systems_Institutional_Narrative.pdf,.pdf,75378,noetfield,ops,draft,classified
ic-00069,noetfield_governance_kernel_mecr.pdf,noetfield_governance_kernel_mecr.pdf,.pdf,114890,noetfield,spec,draft,classified
ic-00070,Noetfield_Systems_Intake_Brief2.pdf,Noetfield_Systems_Intake_Brief2.pdf,.pdf,26899,noetfield,spec,draft,classified
ic-00071,Sina-Kazemnezhad.Admin.pdf,Sina-Kazemnezhad.Admin.pdf,.pdf,108098,raw,ops,draft,classified
ic-00072,Sina---Kazemnezhad.pdf,Sina---Kazemnezhad.pdf,.pdf,181067,raw,ops,draft,classified
ic-00073,The_777_Foundation_Society_Bylaws_Protected.pdf,The_777_Foundation_Society_Bylaws_Protected.pdf,.pdf,4762,777,legal,draft,classified
ic-00074,Sina_Kazemnezhad_Resume.R.pdf,Sina_Kazemnezhad_Resume.R.pdf,.pdf,18646,personal,ops,draft,classified
ic-00075,re-deal-analyzer.pdf,re-deal-analyzer.pdf,.pdf,76181,raw,ops,draft,classified
ic-00076,httpswww.probeit.calmsmodcustomcertview.phpid=294&downloadown=1 2.png,httpswww.probeit.calmsmodcustomcertview.phpid=294&downloadown=1 2.png,.png,1408467,raw,ops,draft,classified
ic-00077,Void_Cheque.pdf.pdf,Void_Cheque.pdf.pdf,.pdf,426241,personal,finance,draft,classified
ic-00078,IRCC_Supplemental_Reconsideration_W312171257.docx,IRCC_Supplemental_Reconsideration_W312171257.docx,.docx,37891,raw,ops,draft,classified
ic-00079,sina-constitution-v1.pdf,sina-constitution-v1.pdf,.pdf,137544,raw,ops,active,classified
ic-00080,Sina-Kazemnezhad 7.pdf,Sina-Kazemnezhad 7.pdf,.pdf,75684,raw,ops,draft,classified
ic-00081,(150566) Passport to Fun Postcard 6x4 DIGITAL FINAL.pdf,(150566) Passport to Fun Postcard 6x4 DIGITAL FINAL.pdf,.pdf,243781,personal,ops,archive,classified
ic-00082,deallens-v2.pdf,deallens-v2.pdf,.pdf,111758,raw,ops,active,classified
ic-00083,virlux-lovable-prompt.pdf,virlux-lovable-prompt.pdf,.pdf,161325,virlux,prompt,draft,classified
ic-00084,httpsparkmedicalclinic.cortico.capatientdocumentsdownloadbb162d86e4bd4f8695969a16a28c633d.pdfgAAAAABoZb6yZP1tJO4Tr_Hppww.png,httpsparkmedicalclinic.cortico.capatientdocumentsdownloadbb162d86e4bd4f8695969a16a28c633d.pdfgAAAAABoZb6yZP1tJO4Tr_Hppww.png,.png,494391,raw,ops,draft,classified
ic-00085,Sina_Kazemnezhad_Resume_Trust_Safety.docx,Sina_Kazemnezhad_Resume_Trust_Safety.docx,.docx,37961,personal,ops,draft,classified
ic-00086,Trust_Brief_Noetfied_Systems.pdf,Trust_Brief_Noetfied_Systems.pdf,.pdf,40132,raw,marketing,draft,classified
ic-00087,Sina Kazemnezhad Offer Letter.pdf,Sina Kazemnezhad Offer Letter.pdf,.pdf,316350,raw,ops,draft,classified
ic-00088,founder-agent-os-blueprint.pdf,founder-agent-os-blueprint.pdf,.pdf,157380,raw,ops,draft,classified
ic-00089,IMG_1751.jpg,IMG_1751.jpg,.jpg,407229,raw,ops,draft,classified
ic-00090,Sina-Kazemnezhad 11.pdf,Sina-Kazemnezhad 11.pdf,.pdf,109253,raw,ops,draft,classified
ic-00091,noetfield-market-intelligence.pdf,noetfield-market-intelligence.pdf,.pdf,185837,noetfield,ops,draft,classified
ic-00092,"Sina Kazemnezhad Cover Letter, Resume.pdf","Sina Kazemnezhad Cover Letter, Resume.pdf",.pdf,70836,personal,ops,draft,classified
ic-00093,Sina_Kazemnezhad_CoverLetter_CircleRestoration.pdf,Sina_Kazemnezhad_CoverLetter_CircleRestoration.pdf,.pdf,2670,raw,ops,draft,classified
ic-00094,Sina-Kazemnezhad 10.pdf,Sina-Kazemnezhad 10.pdf,.pdf,121747,raw,ops,draft,classified
ic-00095,Sina-Kazemnezhad0 2.pdf,Sina-Kazemnezhad0 2.pdf,.pdf,71133,raw,ops,draft,classified
ic-00096,SinaKazemnezhad.pdf,SinaKazemnezhad.pdf,.pdf,162911,raw,ops,draft,classified
ic-00097,Untitled document.docx,Untitled document.docx,.docx,6672,raw,ops,raw,classified
ic-00098,Sina_Kazemnezhad_Tailored_Executive_Assistant_Resume.docx,Sina_Kazemnezhad_Tailored_Executive_Assistant_Resume.docx,.docx,37751,personal,ops,draft,classified
ic-00099,Sina K. General Worker Resume 3.pdf,Sina K. General Worker Resume 3.pdf,.pdf,121058,personal,ops,draft,classified
ic-00100,noetfeld os final v3.pdf,noetfeld os final v3.pdf,.pdf,125490,raw,ops,active,classified
ic-00101,Noetfield_Systems_Institutional_Brief.pdf,Noetfield_Systems_Institutional_Brief.pdf,.pdf,25866,noetfield,marketing,draft,classified
ic-00102,Noetfield_Investor_Deck.pdf,Noetfield_Investor_Deck.pdf,.pdf,8536,noetfield,marketing,draft,classified
ic-00103,Noetfield_Systems_Institutional_Intake_Brief.pdf,Noetfield_Systems_Institutional_Intake_Brief.pdf,.pdf,41416,noetfield,spec,draft,classified
ic-00104,Sina_Kazemnezhad_Supervisory_Statement.pdf,Sina_Kazemnezhad_Supervisory_Statement.pdf,.pdf,2455,raw,ops,draft,classified
ic-00105,PropDecision_AI_Financial_Thesis_Deck.docx,PropDecision_AI_Financial_Thesis_Deck.docx,.docx,37788,raw,marketing,draft,classified
ic-00106,replit-agent-prompt-founder-os.pdf,replit-agent-prompt-founder-os.pdf,.pdf,103466,sina_os,prompt,draft,classified
ic-00107,canadian-settlement-infrastructure-teardown.md,canadian-settlement-infrastructure-teardown.md,.md,70065,raw,ops,draft,classified
ic-00108,Equiton_Strategic_Proposal.pdf,Equiton_Strategic_Proposal.pdf,.pdf,29909,raw,ops,draft,classified
ic-00109,Sina_Kazemnezhad_Resume.docx,Sina_Kazemnezhad_Resume.docx,.docx,38093,personal,ops,draft,classified
ic-00110,Sina_Kazemnezhad_Professional_Resume.pdf,Sina_Kazemnezhad_Professional_Resume.pdf,.pdf,22877,personal,ops,draft,classified
ic-00111,Noetfield AML PPM v1.docx,Noetfield AML PPM v1.docx,.docx,45222,noetfield,ops,active,classified
ic-00112,CIBC Void Cheque_Direct Deposit Form 2.pdf,CIBC Void Cheque_Direct Deposit Form 2.pdf,.pdf,214333,personal,finance,draft,classified
ic-00113,Noetfield Systems Blueprint 2026.docx,Noetfield Systems Blueprint 2026.docx,.docx,26632,noetfield,ops,draft,classified
ic-00114,Sina-Kazemnezhad 12.pdf,Sina-Kazemnezhad 12.pdf,.pdf,108227,raw,ops,draft,classified
ic-00115,file_BA87A305-EB74-47FD-AA98-54B8C8AC66C7.pdf,file_BA87A305-EB74-47FD-AA98-54B8C8AC66C7.pdf,.pdf,359412,raw,ops,draft,classified
ic-00116,Sina K Admin Resume.docx,Sina K Admin Resume.docx,.docx,26616,personal,ops,draft,classified
ic-00117,Sina_Kazemnezhad_ASPS_Cover_Letter.pdf,Sina_Kazemnezhad_ASPS_Cover_Letter.pdf,.pdf,15617,raw,ops,draft,classified
ic-00118,BC_Fintech_Funding_Guide_2026.pdf,BC_Fintech_Funding_Guide_2026.pdf,.pdf,19815,raw,ops,draft,classified
ic-00119,Noetfield Trust Brief v2 2.pdf,Noetfield Trust Brief v2 2.pdf,.pdf,143670,noetfield,marketing,active,classified
ic-00120,trustfield-ui.pdf,trustfield-ui.pdf,.pdf,58262,trustfield,ops,draft,classified
ic-00121,Sina-Kazemnezhad 13.pdf,Sina-Kazemnezhad 13.pdf,.pdf,108330,raw,ops,draft,classified
ic-00122,Layer B internal noetfield_positioning_doctrine.pdf,Layer B internal noetfield_positioning_doctrine.pdf,.pdf,37299,noetfield,ops,draft,classified
ic-00123,BC_Infrastructure_Research_Proposal_v3_with_contact.pdf,BC_Infrastructure_Research_Proposal_v3_with_contact.pdf,.pdf,5476,raw,research,active,classified
ic-00124,28 KAZEMNEZHAD SINA WS350P.pdf,28 KAZEMNEZHAD SINA WS350P.pdf,.pdf,711849,raw,ops,draft,classified
ic-00125,noetfield-app.pdf,noetfield-app.pdf,.pdf,140589,noetfield,ops,draft,classified
ic-00126,Safety Moment Top 10 common ways people fail their ICBC roadÂ tests.pptx,Safety Moment Top 10 common ways people fail their ICBC roadÂ tests.pptx,.pptx,1899112,raw,ops,draft,classified
ic-00127,canadian-settlement-infrastructure-teardown.pdf,canadian-settlement-infrastructure-teardown.pdf,.pdf,202170,raw,ops,draft,classified
ic-00128,Sina_Kazemnezhad_Systems_Architecture_Resume.pdf,Sina_Kazemnezhad_Systems_Architecture_Resume.pdf,.pdf,24490,personal,spec,draft,classified
ic-00129,777_TalkingPoints_OnePager_Branding_Logo.pdf,777_TalkingPoints_OnePager_Branding_Logo.pdf,.pdf,1801973,777,marketing,draft,classified
ic-00130,The_777_Foundation_Budget_HighLevel.png,The_777_Foundation_Budget_HighLevel.png,.png,99841,777,ops,draft,classified
ic-00131,noetfield_bank_integration_pack.pdf,noetfield_bank_integration_pack.pdf,.pdf,49484,noetfield,finance,draft,classified
ic-00132,deallens-v4.pdf,deallens-v4.pdf,.pdf,196863,raw,ops,active,classified
ic-00133,CF_Canada_Proposal_Deck_Sina_Kazemnezhad.pptx,CF_Canada_Proposal_Deck_Sina_Kazemnezhad.pptx,.pptx,36053,raw,marketing,draft,classified
ic-00134,CamScanner 06-23-2025 19.46.pdf,CamScanner 06-23-2025 19.46.pdf,.pdf,271430,raw,ops,draft,classified
ic-00135,Noetfield_Systems_Strategic_Brief.pdf,Noetfield_Systems_Strategic_Brief.pdf,.pdf,24645,noetfield,marketing,draft,classified
ic-00136,FILE_3538.docx,FILE_3538.docx,.docx,37953,raw,ops,draft,classified
ic-00137,Copy of single-key-rental-application (3) (2) (2) 2.pdf,Copy of single-key-rental-application (3) (2) (2) 2.pdf,.pdf,1079409,personal,legal,archive,classified
ic-00138,Sina-Kazemnezhad 17.pdf,Sina-Kazemnezhad 17.pdf,.pdf,89631,raw,ops,draft,classified
ic-00139,Resume.pdf,Resume.pdf,.pdf,87617,personal,ops,draft,classified
ic-00140,Sina_Kazemnezhad_Solution_Architecture_Resume.pdf,Sina_Kazemnezhad_Solution_Architecture_Resume.pdf,.pdf,20117,personal,spec,draft,classified
ic-00141,Sina-Kazemnezhad 16.pdf,Sina-Kazemnezhad 16.pdf,.pdf,78554,raw,ops,draft,classified
ic-00142,Copy of single-key-rental-application (3) (2) (2) 3.pdf,Copy of single-key-rental-application (3) (2) (2) 3.pdf,.pdf,1079409,personal,legal,archive,classified
ic-00143,SinaKazemnezhad144.pdf,SinaKazemnezhad144.pdf,.pdf,138800,raw,ops,draft,classified
ic-00144,uber_annual_2025.pdf,uber_annual_2025.pdf,.pdf,25187,raw,ops,draft,classified
ic-00145,Real Estate Capital Gap Map 2026.pdf,Real Estate Capital Gap Map 2026.pdf,.pdf,94372,raw,finance,draft,classified
ic-00146,Sina-Kazemnezhad..pdf,Sina-Kazemnezhad..pdf,.pdf,169794,raw,ops,draft,classified
ic-00147,The_777_Foundation_Society_Board_Resolution_Bank_Account_2025-11-07.pdf,The_777_Foundation_Society_Board_Resolution_Bank_Account_2025-11-07.pdf,.pdf,3016,777,legal,draft,classified
ic-00148,Cover_Letter_Sina_Kazemnezhad.pdf,Cover_Letter_Sina_Kazemnezhad.pdf,.pdf,19094,raw,ops,draft,classified
ic-00149,Sina K. General Worker Resume.docx,Sina K. General Worker Resume.docx,.docx,27256,personal,ops,draft,classified
ic-00150,document,document,,47492,raw,ops,draft,classified
ic-00151,BUSINESS ACCOUNT APPLICATION.pdf,BUSINESS ACCOUNT APPLICATION.pdf,.pdf,686538,raw,legal,draft,classified
ic-00152,NR_4097698_Name_Request_Results_from_Corporate_Registry.pdf,NR_4097698_Name_Request_Results_from_Corporate_Registry.pdf,.pdf,265984,raw,legal,draft,classified
ic-00153,777_Foundation_Impact_Dashboard.csv,777_Foundation_Impact_Dashboard.csv,.csv,142,777,ops,draft,classified
ic-00154,Sina-Kazemnezhad 14.pdf,Sina-Kazemnezhad 14.pdf,.pdf,108330,raw,ops,draft,classified
ic-00155,Sina_Kazemnezhad_Resume_AVP_ExactVersion.pdf,Sina_Kazemnezhad_Resume_AVP_ExactVersion.pdf,.pdf,5474,personal,ops,draft,classified
ic-00156,5150714.pdf,5150714.pdf,.pdf,163490,raw,ops,draft,classified
ic-00157,Sina-Kazemnezhad 15.pdf,Sina-Kazemnezhad 15.pdf,.pdf,48256,raw,ops,draft,classified
ic-00158,IMG_9958 2.jpg,IMG_9958 2.jpg,.jpg,516919,raw,ops,draft,classified
ic-00159,Sina-Kazemnezhad-Resume 2.pdf,Sina-Kazemnezhad-Resume 2.pdf,.pdf,167606,personal,ops,draft,classified
ic-00160,The_777_Foundation_Society_Constitution.docx,The_777_Foundation_Society_Constitution.docx,.docx,37953,777,ops,draft,classified
ic-00161,noetfeld_systems_architecture.pdf,noetfeld_systems_architecture.pdf,.pdf,36308,raw,spec,draft,classified
ic-00162,Sina_Kazemnezhad_Board_Committee_Manager.docx,Sina_Kazemnezhad_Board_Committee_Manager.docx,.docx,38114,raw,ops,draft,classified
ic-00163,Noetfield_Governance_System_Bank_Grade.pdf,Noetfield_Governance_System_Bank_Grade.pdf,.pdf,3602,noetfield,spec,draft,classified
ic-00164,Witness_BC_DAO_Pitch_Deck.docx,Witness_BC_DAO_Pitch_Deck.docx,.docx,38193,trustfield,marketing,draft,classified
ic-00165,NOETFIELd_Due_Diligence_Deck_v1.0.pdf,NOETFIELd_Due_Diligence_Deck_v1.0.pdf,.pdf,29070,noetfield,marketing,active,classified
ic-00166,Sina_Kazemnezhad_Letter_5.pdf,Sina_Kazemnezhad_Letter_5.pdf,.pdf,81918,raw,ops,draft,classified
ic-00167,Sina_Kazemnezhad_Resume_CA.pdf,Sina_Kazemnezhad_Resume_CA.pdf,.pdf,28424,personal,ops,draft,classified
ic-00168,Sina_Kazemnezhad_FoundingCEO.pdf,Sina_Kazemnezhad_FoundingCEO.pdf,.pdf,25120,raw,ops,draft,classified
ic-00169,noetfield_platform_preview.pdf,noetfield_platform_preview.pdf,.pdf,28927,noetfield,ops,draft,classified
ic-00170,Resume.Sina Kazemnezhad.docx,Resume.Sina Kazemnezhad.docx,.docx,17407,personal,ops,draft,classified
ic-00171,"September 5, 2025.pdf","September 5, 2025.pdf",.pdf,206078,raw,ops,draft,classified
ic-00172,noetfield_constitutional_execution_engine.pdf,noetfield_constitutional_execution_engine.pdf,.pdf,115695,noetfield,ops,draft,classified
ic-00173,The_777_Foundation_Vision_Statement.pdf,The_777_Foundation_Vision_Statement.pdf,.pdf,2439,777,ops,draft,classified
ic-00174,noetfield-v2.pdf,noetfield-v2.pdf,.pdf,59542,noetfield,ops,active,classified
ic-00175,README.md,README.md,.md,761,raw,ops,draft,classified
ic-00176,Sina Kazemnezhad Resume.docx,Sina Kazemnezhad Resume.docx,.docx,25538,personal,ops,draft,classified
ic-00177,noetfied_visual_architecture.pdf,noetfied_visual_architecture.pdf,.pdf,80044,raw,spec,draft,classified
ic-00178,Noetfield_Strategic_Note.pdf,Noetfield_Strategic_Note.pdf,.pdf,22338,noetfield,ops,draft,classified
ic-00179,Car register .pdf,Car register .pdf,.pdf,571277,raw,ops,draft,classified
ic-00180,NOETFIELD_Tier1_Deck.pptx,NOETFIELD_Tier1_Deck.pptx,.pptx,39913,noetfield,marketing,draft,classified
ic-00181,Sina-Kazemnezhad 18.pdf,Sina-Kazemnezhad 18.pdf,.pdf,89631,raw,ops,draft,classified
ic-00182,Decision_Gate_System_v2_Kernel_Spec.pdf,Decision_Gate_System_v2_Kernel_Spec.pdf,.pdf,139710,raw,spec,active,classified
ic-00183,Sina-Kazemnezhad-Admin.pdf,Sina-Kazemnezhad-Admin.pdf,.pdf,102301,raw,ops,draft,classified
ic-00184,Sina-Kazemnezhad 19.pdf,Sina-Kazemnezhad 19.pdf,.pdf,80656,raw,ops,draft,classified
ic-00185,NOETFIELd Product Brief v2.pdf,NOETFIELd Product Brief v2.pdf,.pdf,26284,noetfield,marketing,active,classified
ic-00186,Surrey_Library_Workshop_ActionPlan.pptx,Surrey_Library_Workshop_ActionPlan.pptx,.pptx,29803,raw,ops,draft,classified
ic-00187,noetfied_systems_architecture.pdf,noetfied_systems_architecture.pdf,.pdf,30407,raw,spec,draft,classified
ic-00188,PropDecision_AI_Whitepaper.pdf,PropDecision_AI_Whitepaper.pdf,.pdf,27260,raw,ops,draft,classified
ic-00189,Impact North Shore - Pathways to PR_English_Dec 2024.pdf,Impact North Shore - Pathways to PR_English_Dec 2024.pdf,.pdf,115352,raw,ops,draft,classified
ic-00190,Trust_Brief_Methodology_Object_v1.pdf,Trust_Brief_Methodology_Object_v1.pdf,.pdf,55108,raw,marketing,active,classified
ic-00191,trust brief NF-B3-01 v1.pdf,trust brief NF-B3-01 v1.pdf,.pdf,141291,raw,marketing,active,classified
ic-00192,rbc_investor_deck.pdf,rbc_investor_deck.pdf,.pdf,97069,investor,marketing,draft,classified
ic-00193,Credit_Builder_Agreement.pdf,Credit_Builder_Agreement.pdf,.pdf,396757,raw,ops,draft,classified
ic-00194,Noetfield_Trust_Brief_Sample_Report.pdf,Noetfield_Trust_Brief_Sample_Report.pdf,.pdf,35519,noetfield,marketing,draft,classified
ic-00195,Sina_Kazemnezhad_Professional_Business_Dev_Resume.pdf,Sina_Kazemnezhad_Professional_Business_Dev_Resume.pdf,.pdf,3711,personal,ops,draft,classified
ic-00196,Resume 3.pdf,Resume 3.pdf,.pdf,70372,personal,ops,draft,classified
ic-00197,BC_Infrastructure_Research_Proposal_HighImpact_with_contact.pdf,BC_Infrastructure_Research_Proposal_HighImpact_with_contact.pdf,.pdf,5379,raw,research,draft,classified
ic-00198,Noetfield_RBC_FinSec_Application.pdf,Noetfield_RBC_FinSec_Application.pdf,.pdf,43090,noetfield,legal,draft,classified
ic-00199,ecpdrillingconcrete-doc-en.doc,ecpdrillingconcrete-doc-en.doc,.doc,102912,raw,ops,draft,classified
ic-00200,Noetfield RBC FinSec Due Diligence Memo.docx,Noetfield RBC FinSec Due Diligence Memo.docx,.docx,16545,noetfield,ops,draft,classified
ic-00201,Sina_Kazemnezhad_Cover_Letter.pdf,Sina_Kazemnezhad_Cover_Letter.pdf,.pdf,1946,raw,ops,draft,classified
ic-00202,The_777_Foundation_Constitution_FINAL_UPDATED.pdf,The_777_Foundation_Constitution_FINAL_UPDATED.pdf,.pdf,4058,777,ops,draft,classified
